Unique_id,Site,Year,TimePeriod,dN15,Percent_N,Percent_C,C_to_N_ratio,Phosphate,Silicate,Nitrite_plus_Nitrate,Ammonia,Date,Time,Latitude,Longitude,Distance_to_crest,Distance_to_shore,Distance_to_pass,Distance_to_deep_lagoon_water,Distance_to_population_center,Population_center,Island_shore,Habitat,Lagoon,Microbial_Species_Richness,Microbial_Shannon_Diversity,Microbial_Phylogenetic_Diversity,Microbial_Evenness,Microbial_PCoA1,Microbial_PCoA2,Ultra.Violet.Humic.like,Tyrosine.like,Visible.Humic.like,Marine.Humic.like,Tryptophan.like,Lignin.like,M.C,HIX,BIX,FI,FishNH4ug_min_m2,FishBiomg_m2
id_26,10,2016,2016-July,4.93,0.47,NA,NA,NA,NA,NA,NA,NA,NA,-17.5752091,-149.8700014,628.8199999999999,586.2700000000001,908.48,193.92,1988.96,Vai'anae/Atiha,SW,Mid lagoon,Vaianae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4519475851206418,25.192395933010594
id_27,10,2016,2016-May,3.48,0.51,NA,NA,NA,NA,NA,NA,NA,NA,-17.5752091,-149.8700014,628.8199999999999,586.2700000000001,908.48,193.92,1988.96,Vai'anae/Atiha,SW,Mid lagoon,Vaianae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4519475851206418,25.192395933010594
id_28,10,2016,2016-January,3.18,0.42,NA,NA,NA,NA,NA,NA,NA,NA,-17.5752091,-149.8700014,628.8199999999999,586.2700000000001,908.48,193.92,1988.96,Vai'anae/Atiha,SW,Mid lagoon,Vaianae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4519475851206418,25.192395933010594
id_29,11,2016,2016-July,5.78,0.46,NA,NA,NA,NA,NA,NA,NA,NA,-17.5727299,-149.8661581,1132.1799999999998,133.13,1316.85,34.15,1831.95,Vai'anae/Atiha,SW,Fringing reef,Vaianae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9761331728685579,16.866034517153505
id_30,11,2016,2016-May,3.75,0.63,NA,NA,NA,NA,NA,NA,NA,NA,-17.5727299,-149.8661581,1132.1799999999998,133.13,1316.85,34.15,1831.95,Vai'anae/Atiha,SW,Fringing reef,Vaianae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9761331728685579,16.866034517153505
id_31,11,2016,2016-January,3.53,0.48,NA,NA,NA,NA,NA,NA,NA,NA,-17.5727299,-149.8661581,1132.1799999999998,133.13,1316.85,34.15,1831.95,Vai'anae/Atiha,SW,Fringing reef,Vaianae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9761331728685579,16.866034517153505
id_32,12,2016,2016-July,7.66,0.48,NA,NA,NA,NA,NA,NA,NA,NA,-17.59364896,-149.8482386,309.66,800.92,340.22999999999996,162.79,800.92,Vai'anae/Atiha,SW,Reef pass,Vaianae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6895702782429289,11.92688257750489
id_33,12,2016,2016-May,3.51,0.46,NA,NA,NA,NA,NA,NA,NA,NA,-17.59364896,-149.8482386,309.66,800.92,340.22999999999996,162.79,800.92,Vai'anae/Atiha,SW,Reef pass,Vaianae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6895702782429289,11.92688257750489
id_34,12,2016,2016-January,3.35,0.43,NA,NA,NA,NA,NA,NA,NA,NA,-17.59364896,-149.8482386,309.66,800.92,340.22999999999996,162.79,800.92,Vai'anae/Atiha,SW,Reef pass,Vaianae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6895702782429289,11.92688257750489
id_35,13,2016,2016-July,5.68,0.48,NA,NA,NA,NA,NA,NA,NA,NA,-17.5676907,-149.8705731,1139.83,186.07,1003.2,55.63,2585.05,Vai'anae/Atiha,SW,Fringing reef,Vaianae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19339996940229665,3.4694803518056276
id_36,13,2016,2016-May,4.24,0.65,NA,NA,NA,NA,NA,NA,NA,NA,-17.5676907,-149.8705731,1139.83,186.07,1003.2,55.63,2585.05,Vai'anae/Atiha,SW,Fringing reef,Vaianae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19339996940229665,3.4694803518056276
id_37,13,2016,2016-January,2.1,0.41,NA,NA,NA,NA,NA,NA,NA,NA,-17.5676907,-149.8705731,1139.83,186.07,1003.2,55.63,2585.05,Vai'anae/Atiha,SW,Fringing reef,Vaianae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19339996940229665,3.4694803518056276
id_38,14,2016,2016-July,4.23,0.48,NA,NA,NA,NA,NA,NA,NA,NA,-17.58281082,-149.8662589,438.96999999999997,916.93,1695.09,242.68,1458.68,Vai'anae/Atiha,SW,Mid lagoon,Vaianae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5594508967160152,26.949597452697116
id_39,14,2016,2016-May,3.52,0.51,NA,NA,NA,NA,NA,NA,NA,NA,-17.58281082,-149.8662589,438.96999999999997,916.93,1695.09,242.68,1458.68,Vai'anae/Atiha,SW,Mid lagoon,Vaianae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5594508967160152,26.949597452697116
id_40,14,2016,2016-January,2.88,0.36,NA,NA,NA,NA,NA,NA,NA,NA,-17.58281082,-149.8662589,438.96999999999997,916.93,1695.09,242.68,1458.68,Vai'anae/Atiha,SW,Mid lagoon,Vaianae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5594508967160152,26.949597452697116
id_41,16,2016,2016-July,5.69,0.69,NA,NA,NA,NA,NA,NA,NA,NA,-17.5869498,-149.8426075,1190.12,149.86,1101.59,315.22,149.86,Vai'anae/Atiha,SW,Bay,Maatea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9027535000780617,15.1413157109257
id_42,16,2016,2016-May,3.29,0.56,NA,NA,NA,NA,NA,NA,NA,NA,-17.5869498,-149.8426075,1190.12,149.86,1101.59,315.22,149.86,Vai'anae/Atiha,SW,Bay,Maatea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9027535000780617,15.1413157109257
id_43,16,2016,2016-January,3.52,0.63,NA,NA,NA,NA,NA,NA,NA,NA,-17.5869498,-149.8426075,1190.12,149.86,1101.59,315.22,149.86,Vai'anae/Atiha,SW,Bay,Maatea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9027535000780617,15.1413157109257
id_44,17,2016,2016-July,6.87,0.32,NA,NA,NA,NA,NA,NA,NA,NA,-17.59328585,-149.8390346,683.48,215.33,607.2900000000001,349.81,768.71,Vai'anae/Atiha,SW,Fringing reef,Maatea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
id_45,17,2016,2016-January,1.99,0.39,NA,NA,NA,NA,NA,NA,NA,NA,-17.59328585,-149.8390346,683.48,215.33,607.2900000000001,349.81,768.71,Vai'anae/Atiha,SW,Fringing reef,Maatea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
id_46,18,2016,2016-July,6,0.34,NA,NA,NA,NA,NA,NA,NA,NA,-17.59567268,-149.8408034,354.18,539.2900000000001,305.04,106.85,940.67,Vai'anae/Atiha,SW,Reef pass,Maatea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
id_47,18,2016,2016-January,3,0.49,NA,NA,NA,NA,NA,NA,NA,NA,-17.59567268,-149.8408034,354.18,539.2900000000001,305.04,106.85,940.67,Vai'anae/Atiha,SW,Reef pass,Maatea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
id_48,19,2016,2016-July,5.69,0.36,NA,NA,NA,NA,NA,NA,NA,NA,-17.59828926,-149.8398006,193.07,735.4599999999999,334.74,282.26,1236.87,Vai'anae/Atiha,SW,Reef crest,Maatea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8454853056464716,14.813336257461334
id_49,19,2016,2016-January,3.33,0.43,NA,NA,NA,NA,NA,NA,NA,NA,-17.59828926,-149.8398006,193.07,735.4599999999999,334.74,282.26,1236.87,Vai'anae/Atiha,SW,Reef crest,Maatea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8454853056464716,14.813336257461334
id_50,20,2016,2016-July,5.31,0.33,NA,NA,NA,NA,NA,NA,NA,NA,-17.60238365,-149.8303391,222.85000000000002,1215.01,1419.62,1366.33,2079.74,Vai'anae/Atiha,SW,Reef crest,Maatea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2806197377567359,21.86314610602357
id_51,20,2016,2016-January,3.4,0.38,NA,NA,NA,NA,NA,NA,NA,NA,-17.60238365,-149.8303391,222.85000000000002,1215.01,1419.62,1366.33,2079.74,Vai'anae/Atiha,SW,Reef crest,Maatea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2806197377567359,21.86314610602357
id_52,21,2016,2016-July,5.46,0.37,NA,NA,NA,NA,NA,NA,NA,NA,-17.59344385,-149.826245,1240.6799999999998,142.84,1829.11,1610.68,1925.87,Vai'anae/Atiha,SW,Fringing reef,Maatea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6446596160838374,11.306878992024663
id_53,21,2016,2016-May,3.24,0.52,NA,NA,NA,NA,NA,NA,NA,NA,-17.59344385,-149.826245,1240.6799999999998,142.84,1829.11,1610.68,1925.87,Vai'anae/Atiha,SW,Fringing reef,Maatea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6446596160838374,11.306878992024663
id_54,21,2016,2016-January,2.73,0.41,NA,NA,NA,NA,NA,NA,NA,NA,-17.59344385,-149.826245,1240.6799999999998,142.84,1829.11,1610.68,1925.87,Vai'anae/Atiha,SW,Fringing reef,Maatea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6446596160838374,11.306878992024663
id_55,22,2016,2016-July,4.98,0.31,NA,NA,NA,NA,NA,NA,NA,NA,-17.60326945,-149.810896,238.14,1246.02,3451.57,865.13,1246.02,Ma'atea,SW,Reef crest,Maatea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.009148436727045,17.569001181858425
id_56,22,2016,2016-May,3.34,0.49,NA,NA,NA,NA,NA,NA,NA,NA,-17.60326945,-149.810896,238.14,1246.02,3451.57,865.13,1246.02,Ma'atea,SW,Reef crest,Maatea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.009148436727045,17.569001181858425
id_57,22,2016,2016-January,3.52,0.44,NA,NA,NA,NA,NA,NA,NA,NA,-17.60326945,-149.810896,238.14,1246.02,3451.57,865.13,1246.02,Ma'atea,SW,Reef crest,Maatea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.009148436727045,17.569001181858425
id_58,23,2016,2016-July,4.47,0.38,NA,NA,NA,NA,NA,NA,NA,NA,-17.5924521,-149.8151988,1379.78,115.13,3586.4300000000003,209.77,450.28,Ma'atea,SW,Fringing reef,Maatea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
id_59,23,2016,2016-January,3.29,0.47,NA,NA,NA,NA,NA,NA,NA,NA,-17.5924521,-149.8151988,1379.78,115.13,3586.4300000000003,209.77,450.28,Ma'atea,SW,Fringing reef,Maatea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
id_60,24,2016,2016-July,4.82,0.29,NA,NA,NA,NA,NA,NA,NA,NA,-17.59325316,-149.8095427,1244.37,153.45000000000002,3031.16,168.45,153.45,Ma'atea,SW,Fringing reef,Maatea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7047344535375274,12.870514829767192
id_61,24,2016,2016-May,3.05,0.55,NA,NA,NA,NA,NA,NA,NA,NA,-17.59325316,-149.8095427,1244.37,153.45000000000002,3031.16,168.45,153.45,Ma'atea,SW,Fringing reef,Maatea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7047344535375274,12.870514829767192
id_62,24,2016,2016-January,2.84,0.51,NA,NA,NA,NA,NA,NA,NA,NA,-17.59325316,-149.8095427,1244.37,153.45000000000002,3031.16,168.45,153.45,Ma'atea,SW,Fringing reef,Maatea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7047344535375274,12.870514829767192
id_63,25,2016,2016-July,4.27,0.44,NA,NA,NA,NA,NA,NA,NA,NA,-17.59436904,-149.8067542,1115.81,313.51,2895.1,119.94,313.51,Ma'atea,SW,Fringing reef,Maatea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7912583191824498,15.22299820783516
id_64,25,2016,2016-May,3.13,0.53,NA,NA,NA,NA,NA,NA,NA,NA,-17.59436904,-149.8067542,1115.81,313.51,2895.1,119.94,313.51,Ma'atea,SW,Fringing reef,Maatea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7912583191824498,15.22299820783516
id_65,25,2016,2016-January,2.85,0.46,NA,NA,NA,NA,NA,NA,NA,NA,-17.59436904,-149.8067542,1115.81,313.51,2895.1,119.94,313.51,Ma'atea,SW,Fringing reef,Maatea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7912583191824498,15.22299820783516
id_66,26,2016,2016-July,4.49,0.49,NA,NA,NA,NA,NA,NA,NA,NA,-17.59146245,-149.8037116,1023.71,172.28,2420.52,113.71,172.28,Ma'atea,SE,Fringing reef,Maatea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5260329343729884,27.38463071651348
id_67,26,2016,2016-May,3.44,0.54,NA,NA,NA,NA,NA,NA,NA,NA,-17.59146245,-149.8037116,1023.71,172.28,2420.52,113.71,172.28,Ma'atea,SE,Fringing reef,Maatea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5260329343729884,27.38463071651348
id_68,26,2016,2016-January,2.26,0.47,NA,NA,NA,NA,NA,NA,NA,NA,-17.59146245,-149.8037116,1023.71,172.28,2420.52,113.71,172.28,Ma'atea,SE,Fringing reef,Maatea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5260329343729884,27.38463071651348
id_69,27,2016,2016-July,6.31,0.32,NA,NA,NA,NA,NA,NA,NA,NA,-17.59423829,-149.7964097,184.20999999999998,996.38,2225.84,450.33,996.38,Ma'atea,SE,Reef crest,Maatea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6348525081679142,28.2738102127809
id_70,27,2016,2016-May,3.35,0.42,NA,NA,NA,NA,NA,NA,NA,NA,-17.59423829,-149.7964097,184.20999999999998,996.38,2225.84,450.33,996.38,Ma'atea,SE,Reef crest,Maatea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6348525081679142,28.2738102127809
id_71,27,2016,2016-January,2.11,0.32,NA,NA,NA,NA,NA,NA,NA,NA,-17.59423829,-149.7964097,184.20999999999998,996.38,2225.84,450.33,996.38,Ma'atea,SE,Reef crest,Maatea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6348525081679142,28.2738102127809
id_72,28,2016,2016-July,4.21,0.36,NA,NA,NA,NA,NA,NA,NA,NA,-17.59882126,-149.8193942,695.02,685.7800000000001,4218.68,838.91,1176.93,Ma'atea,SW,Mid lagoon,Maatea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.36921358199167353,6.343658928212361
id_73,28,2016,2016-May,3.27,0.52,NA,NA,NA,NA,NA,NA,NA,NA,-17.59882126,-149.8193942,695.02,685.7800000000001,4218.68,838.91,1176.93,Ma'atea,SW,Mid lagoon,Maatea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.36921358199167353,6.343658928212361
id_74,28,2016,2016-January,1.95,0.33,NA,NA,NA,NA,NA,NA,NA,NA,-17.59882126,-149.8193942,695.02,685.7800000000001,4218.68,838.91,1176.93,Ma'atea,SW,Mid lagoon,Maatea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.36921358199167353,6.343658928212361
id_75,29,2016,2016-July,6.88,0.41,NA,NA,NA,NA,NA,NA,NA,NA,-17.59742064,-149.8283843,789.87,623.66,5084.49,1653.55,1930.09,Ma'atea,SW,Mid lagoon,Maatea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37553947449624964,6.560452274793128
id_76,29,2016,2016-May,3.42,0.44,NA,NA,NA,NA,NA,NA,NA,NA,-17.59742064,-149.8283843,789.87,623.66,5084.49,1653.55,1930.09,Ma'atea,SW,Mid lagoon,Maatea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37553947449624964,6.560452274793128
